2024-11-10 00:28:24,189 INFO  DataLinksLogger SignalServer: Client have Connected ,ConnectId 'f3cb789c-7f9b-4f0d-9026-eb03e2e3fb87',HubName 'Signals'  
2024-11-10 00:29:26,325 INFO  DataLinksLogger SignalServer: Client have Reconnected ,connectId 'f3cb789c-7f9b-4f0d-9026-eb03e2e3fb87',HubName 'Signals'  
2024-11-10 00:29:26,325 INFO  DataLinksLogger SignalServer: Client have Reconnected ,connectId '189bbd08-d660-4f2b-88e2-68a68bf543d8',HubName 'Alarm'  
2024-11-10 00:29:47,138 INFO  DataLinksLogger FreedomServer Disconnect information,ID:0 , IPAdderss:127.0.0.1:55934  
2024-11-10 00:30:07,041 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 00:30:07,050 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-11-10 00:30:07,050 INFO  DataLinksLogger ModbusTCPServer: Init => Initing   
2024-11-10 00:30:07,056 INFO  DataLinksLogger ModbusTCPServer: Initing=>Inited  
2024-11-10 00:30:07,056 INFO  DataLinksLogger FreedomServer: Init => Initing   
2024-11-10 00:30:07,056 INFO  DataLinksLogger FreedomServer: Initing=>Inited  
2024-11-10 00:30:07,056 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-11-10 00:30:07,056 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-11-10 00:30:07,056 INFO  DataLinksLogger Record01: Init => Initing   
2024-11-10 00:30:07,056 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-11-10 00:30:07,056 INFO  DataLinksLogger Channel2: Start => Starting   
2024-11-10 00:30:07,056 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-11-10 00:30:07,072 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 00:30:07,072 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
2024-11-10 00:30:07,072 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 00:30:07,072 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 00:30:07,072 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 00:30:07,072 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 00:30:07,072 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 00:30:07,072 INFO  DataLinksLogger Record01: Start=>Starting   
2024-11-10 00:30:07,072 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 00:30:07,204 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 00:30:31,865 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 00:30:31,879 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-11-10 00:30:31,879 INFO  DataLinksLogger ModbusTCPServer: Init => Initing   
2024-11-10 00:30:32,107 INFO  DataLinksLogger ModbusTCPServer: Initing=>Inited  
2024-11-10 00:30:32,107 INFO  DataLinksLogger FreedomServer: Init => Initing   
2024-11-10 00:30:32,107 INFO  DataLinksLogger FreedomServer: Initing=>Inited  
2024-11-10 00:30:32,107 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-11-10 00:30:32,107 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-11-10 00:30:32,107 INFO  DataLinksLogger Record01: Init => Initing   
2024-11-10 00:30:32,107 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-11-10 00:30:32,107 INFO  DataLinksLogger Channel2: Start => Starting   
2024-11-10 00:30:32,107 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-11-10 00:30:32,107 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 00:30:32,107 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
2024-11-10 00:30:32,107 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 00:30:32,115 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 00:30:32,115 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 00:30:32,115 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 00:30:32,115 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 00:30:32,116 INFO  DataLinksLogger Record01: Start=>Starting   
